Time,# Clients
2017/01/01 05:00:00.000000 +00:00,93
2017/01/02 05:00:00.000000 +00:00,73
2017/01/03 05:00:00.000000 +00:00,87
2017/01/04 05:00:00.000000 +00:00,97
2017/01/05 05:00:00.000000 +00:00,92
2017/01/06 05:00:00.000000 +00:00,88
2017/01/07 05:00:00.000000 +00:00,39
2017/01/08 05:00:00.000000 +00:00,40
2017/01/09 05:00:00.000000 +00:00,74
2017/01/10 05:00:00.000000 +00:00,67
2017/01/11 05:00:00.000000 +00:00,88
2017/01/12 05:00:00.000000 +00:00,105
2017/01/13 05:00:00.000000 +00:00,150
2017/01/14 05:00:00.000000 +00:00,94
2017/01/15 05:00:00.000000 +00:00,74
2017/01/16 05:00:00.000000 +00:00,95
2017/01/17 05:00:00.000000 +00:00,83
2017/01/18 05:00:00.000000 +00:00,108
2017/01/19 05:00:00.000000 +00:00,104
2017/01/20 05:00:00.000000 +00:00,109
2017/01/21 05:00:00.000000 +00:00,122
2017/01/22 05:00:00.000000 +00:00,69
2017/01/23 05:00:00.000000 +00:00,55
2017/01/24 05:00:00.000000 +00:00,96
2017/01/25 05:00:00.000000 +00:00,135
2017/01/26 05:00:00.000000 +00:00,119
2017/01/27 05:00:00.000000 +00:00,97
2017/01/28 05:00:00.000000 +00:00,88
2017/01/29 05:00:00.000000 +00:00,61
2017/01/30 05:00:00.000000 +00:00,61
2017/01/31 05:00:00.000000 +00:00,138
2017/02/01 05:00:00.000000 +00:00,85
2017/02/02 05:00:00.000000 +00:00,92
2017/02/03 05:00:00.000000 +00:00,104
2017/02/04 05:00:00.000000 +00:00,87
2017/02/05 05:00:00.000000 +00:00,58
2017/02/06 05:00:00.000000 +00:00,98
2017/02/07 05:00:00.000000 +00:00,99
2017/02/08 05:00:00.000000 +00:00,154
2017/02/09 05:00:00.000000 +00:00,78
2017/02/10 05:00:00.000000 +00:00,115
2017/02/11 05:00:00.000000 +00:00,119
2017/02/12 05:00:00.000000 +00:00,132
2017/02/13 05:00:00.000000 +00:00,98
2017/02/14 05:00:00.000000 +00:00,89
2017/02/15 05:00:00.000000 +00:00,92
2017/02/16 05:00:00.000000 +00:00,81
2017/02/17 05:00:00.000000 +00:00,140
2017/02/18 05:00:00.000000 +00:00,162
2017/02/19 05:00:00.000000 +00:00,147
2017/02/20 05:00:00.000000 +00:00,138
2017/02/21 05:00:00.000000 +00:00,112
2017/02/22 05:00:00.000000 +00:00,94
2017/02/23 05:00:00.000000 +00:00,155
2017/02/24 05:00:00.000000 +00:00,191
2017/02/25 05:00:00.000000 +00:00,116
2017/02/26 05:00:00.000000 +00:00,75
2017/02/27 05:00:00.000000 +00:00,87
2017/02/28 05:00:00.000000 +00:00,93
2017/03/01 05:00:00.000000 +00:00,106
2017/03/02 05:00:00.000000 +00:00,110
2017/03/03 05:00:00.000000 +00:00,96
2017/03/04 05:00:00.000000 +00:00,97
2017/03/05 05:00:00.000000 +00:00,53
2017/03/06 05:00:00.000000 +00:00,82
2017/03/07 05:00:00.000000 +00:00,97
2017/03/08 05:00:00.000000 +00:00,127
2017/03/09 05:00:00.000000 +00:00,128
2017/03/10 05:00:00.000000 +00:00,101
2017/03/11 05:00:00.000000 +00:00,114
2017/03/12 05:00:00.000000 +00:00,62
2017/03/13 05:00:00.000000 +00:00,66
2017/03/14 05:00:00.000000 +00:00,63
2017/03/15 05:00:00.000000 +00:00,75
2017/03/16 05:00:00.000000 +00:00,107
2017/03/17 05:00:00.000000 +00:00,113
2017/03/18 05:00:00.000000 +00:00,130
2017/03/19 05:00:00.000000 +00:00,81
2017/03/20 05:00:00.000000 +00:00,100
2017/03/21 05:00:00.000000 +00:00,119
2017/03/22 05:00:00.000000 +00:00,103
2017/03/23 05:00:00.000000 +00:00,87
2017/03/24 05:00:00.000000 +00:00,149
2017/03/25 05:00:00.000000 +00:00,215
2017/03/26 05:00:00.000000 +00:00,99
2017/03/27 05:00:00.000000 +00:00,120
2017/03/28 05:00:00.000000 +00:00,91
2017/03/29 05:00:00.000000 +00:00,156
2017/03/30 05:00:00.000000 +00:00,96
2017/03/31 05:00:00.000000 +00:00,116
2017/04/01 05:00:00.000000 +00:00,180
2017/04/02 05:00:00.000000 +00:00,113
2017/04/03 05:00:00.000000 +00:00,61
2017/04/04 05:00:00.000000 +00:00,141
2017/04/05 05:00:00.000000 +00:00,157
2017/04/06 05:00:00.000000 +00:00,92
2017/04/07 05:00:00.000000 +00:00,106
2017/04/08 05:00:00.000000 +00:00,172
2017/04/09 05:00:00.000000 +00:00,175
2017/04/10 05:00:00.000000 +00:00,177
2017/04/11 05:00:00.000000 +00:00,171
2017/04/12 05:00:00.000000 +00:00,228
2017/04/13 05:00:00.000000 +00:00,277
2017/04/14 05:00:00.000000 +00:00,338
2017/04/15 05:00:00.000000 +00:00,294
2017/04/16 05:00:00.000000 +00:00,146
2017/04/17 05:00:00.000000 +00:00,140
2017/04/18 05:00:00.000000 +00:00,163
2017/04/19 05:00:00.000000 +00:00,103
2017/04/20 05:00:00.000000 +00:00,206
2017/04/21 05:00:00.000000 +00:00,264
2017/04/22 05:00:00.000000 +00:00,130
2017/04/23 05:00:00.000000 +00:00,101
2017/04/24 05:00:00.000000 +00:00,46
2017/04/25 05:00:00.000000 +00:00,100
2017/04/26 05:00:00.000000 +00:00,217
2017/04/27 05:00:00.000000 +00:00,201
2017/04/28 05:00:00.000000 +00:00,317
2017/04/29 05:00:00.000000 +00:00,212
2017/04/30 05:00:00.000000 +00:00,148
2017/05/01 05:00:00.000000 +00:00,116
2017/05/02 05:00:00.000000 +00:00,146
2017/05/03 05:00:00.000000 +00:00,170
2017/05/04 05:00:00.000000 +00:00,118
2017/05/05 05:00:00.000000 +00:00,222
2017/05/06 05:00:00.000000 +00:00,124
2017/05/07 05:00:00.000000 +00:00,110
2017/05/08 05:00:00.000000 +00:00,94
2017/05/09 05:00:00.000000 +00:00,157
2017/05/10 05:00:00.000000 +00:00,148
2017/05/11 05:00:00.000000 +00:00,99
2017/05/12 05:00:00.000000 +00:00,84
2017/05/13 05:00:00.000000 +00:00,155
2017/05/14 05:00:00.000000 +00:00,159
2017/05/15 05:00:00.000000 +00:00,167
2017/05/16 05:00:00.000000 +00:00,224
2017/05/17 05:00:00.000000 +00:00,177
2017/05/18 05:00:00.000000 +00:00,144
2017/05/19 05:00:00.000000 +00:00,245
2017/05/20 05:00:00.000000 +00:00,158
2017/05/21 05:00:00.000000 +00:00,107
2017/05/22 05:00:00.000000 +00:00,135
2017/05/23 05:00:00.000000 +00:00,107
2017/05/24 05:00:00.000000 +00:00,113
2017/05/25 05:00:00.000000 +00:00,142
2017/05/26 05:00:00.000000 +00:00,298
2017/05/27 05:00:00.000000 +00:00,161
2017/05/28 05:00:00.000000 +00:00,104
2017/05/29 05:00:00.000000 +00:00,143
2017/05/30 05:00:00.000000 +00:00,132
2017/05/31 05:00:00.000000 +00:00,141
2017/06/01 05:00:00.000000 +00:00,191
2017/06/02 05:00:00.000000 +00:00,275
2017/06/03 05:00:00.000000 +00:00,218
2017/06/04 05:00:00.000000 +00:00,130
2017/06/05 05:00:00.000000 +00:00,125
2017/06/06 05:00:00.000000 +00:00,244
2017/06/07 05:00:00.000000 +00:00,219
2017/06/08 05:00:00.000000 +00:00,212
2017/06/09 05:00:00.000000 +00:00,303
2017/06/10 05:00:00.000000 +00:00,157
2017/06/11 05:00:00.000000 +00:00,39
2017/06/12 05:00:00.000000 +00:00,73
2017/06/13 05:00:00.000000 +00:00,84
2017/06/14 05:00:00.000000 +00:00,201
2017/06/15 05:00:00.000000 +00:00,148
2017/06/16 05:00:00.000000 +00:00,156
2017/06/17 05:00:00.000000 +00:00,174
2017/06/18 05:00:00.000000 +00:00,93
2017/06/19 05:00:00.000000 +00:00,117
2017/06/20 05:00:00.000000 +00:00,198
2017/06/21 05:00:00.000000 +00:00,144
2017/06/22 05:00:00.000000 +00:00,123
2017/06/23 05:00:00.000000 +00:00,188
2017/06/24 05:00:00.000000 +00:00,179
2017/06/25 05:00:00.000000 +00:00,113
2017/06/26 05:00:00.000000 +00:00,117
2017/06/27 05:00:00.000000 +00:00,151
2017/06/28 05:00:00.000000 +00:00,155
2017/06/29 05:00:00.000000 +00:00,147
