Application,Usage (kB),Usage %
Miscellaneous secure web,125140866.2,20.27459927
YouTube,81937236.94,13.27499717
Miscellaneous web,37517252.36,6.078328211
iTunes,36187269.17,5.862852029
apple.com,34538869.32,5.595787819
iCloud,32303028.45,5.233549815
Google HTTPS,31525494.35,5.107578237
Netflix,29397242.89,4.762771247
Facebook,27448849.29,4.447103786
CDNs,25343900.99,4.106072239
UDP,23286259.68,3.772705095
Snapchat,20435927.04,3.310910689
Miscellaneous video,16733186.57,2.711014096
Instagram,14964059.44,2.424390352
Pandora,8406787.172,1.362019029
Spotify,8315781.255,1.347274777
Tumblr,5887078.25,0.953790365
Google,5561498.238,0.901041774
Dropbox,5339391.651,0.86505735
Miscellaneous audio,5114808.1,0.828671622
Twitter,4825122.863,0.781738496
Gmail,4737429.097,0.767530859
Software updates,3872751.695,0.627440828
microsoft.com,2896316.865,0.469244505
turner.com,2511817.278,0.406950106
Google Drive,2246568.045,0.36397596
BitTorrent,2234854.03,0.362078123
Microsoft OneDrive,2119614.58,0.343407694
Host-based email (POP3/IMAP/SMTP),1886793.731,0.305687406
Non-web TCP,1388710.786,0.224990889
SIP (Voice),1180105.604,0.191193884
Yahoo,1069867.709,0.173333778
ESPN,1008771.006,0.163435243
ustream.tv,806237.2861,0.130621901
Xfinity TV,701564.1738,0.113663369
Windows Office365,592350.4463,0.095969193
adobe.com,587571.1025,0.095194871
Web based email,506980.71,0.082138082
Vimeo,409686.6729,0.066375065
Box,402656.0381,0.065236002
New York Times,401045.9424,0.064975144
Yahoo Mail,392579.0977,0.063603395
amazon.com,381712.0781,0.061842783
ICMP,378721.2744,0.06135823
Meraki HTTPS,346584.6162,0.056151635
imgur.com,336149.332,0.05446097
Google+,328890.3809,0.053284917
CNN,308407.1064,0.049966335
Pinterest,284538.1094,0.046099219
WordPress,282924.3662,0.045837769
Encrypted TCP (SSL),279734.8311,0.045321019
Live.com,251056.5732,0.040674734
Encrypted P2P,250814.3789,0.040635495
mlb.com,216946.1895,0.035148367
Windows Live Hotmail and Outlook,210342.6729,0.034078503
Antivirus updates,110536.1094,0.017908421
Wikipedia,107516.3203,0.017419172
Carbonite,71723.90137,0.011620292
MSN,65476.76074,0.010608166
Skype,65039.66309,0.01053735
Blogger,62125.74609,0.010065254
Amazon Instant Video,61739.79199,0.010002724
hulu.com,49962.99512,0.008094715
RTMP (Adobe Flash),49925.10645,0.008088577
ABC News,42992.88379,0.006965458
salesforce.com,39277.43457,0.006363503
IGN,38807.6748,0.006287395
Google Maps,36751.02051,0.005954188
Zynga,35435.07813,0.005740986
soundcloud.com,33617.92285,0.005446581
Picasa,33490.91699,0.005426005
Ubuntu,32113.75879,0.005202885
Evernote,25333.13184,0.004104327
eBay,22933.5127,0.003715555
Fox News,21316.00391,0.003453496
Yelp,19979.37598,0.003236943
Dailymotion,18367.62598,0.002975817
go.com,18077.06934,0.002928742
Bing,17742.77344,0.002874582
weather.com,15423.4834,0.002498824
DNS,11450.63574,0.001855166
Hotmail,10253.92383,0.001661281
Line,9723.697266,0.001575377
smugmug,9307.414063,0.001507933
aol.com,7548.907227,0.00122303
Rhapsody,5375.453125,0.0008709
baidu.com,5300.560547,0.000858766
Gizmodo,4962.571289,0.000804007
SSH,4869.191406,0.000788878
Xbox LIVE,4497.399414,0.000728643
Flickr,4468.451172,0.000723953
Mozilla,4302.03125,0.00069699
photobucket.com,3848.429688,0.0006235
Backblaze,3768.506836,0.000610552
CBS Sports,2929.585938,0.000474635
GameSpot,2536.271484,0.000410912
foxsports.com,2319.544922,0.000375799
MySpace,2196.959961,0.000355939
WebEx,2130.147461,0.000345114
IMDB,1319.400391,0.000213762
