Manufacturer,# Clients,Data Received (kB),Data Sent (kB)
Apple,6544,568231854,129732299
Murata Manufacturing,420,56044549,12851255
LG Electronics (Mobile...,531,34036510,4356452
Samsung(THAILAND),393,20213811,5131248
TCT mobile,140,22852599,1794104
Samsung,349,19798213,2152964
Intel,153,16901264,1971527
KYOCERA,23,13515394,3323963
"Motorola Mobility LLC, a...",360,9646286,1703012
HTC,119,7297994,2162861
Huawei Technologies,75,7841249,762111
zte,78,4435073,367911
Lite-On,26,4359975,306314
Hon Hai/Foxconn,28,3662641,342986
Microsoft Mobile Oy,11,2622020,54762
Microsoft,25,2089560,236038
AzureWave Technology,14,1008329,79831
Sony Mobile...,28,555856,133910
,11,560870,70541
Yulong Computer...,6,231385,327295
Private,9,431089,23693
Qualcomm,2,342568,12028
Amazon Technologies,17,289736,56710
Chicony Electronics,2,307760,30216
OnePlus Tech (Shenzhen),14,159111,18922
Lemobile Information...,2,140826,34759
BLU Products,12,123054,22100
Samsung ELECTRO MECHANICS,27,109741,23829
Rivet Networks,3,123513,9503
ASUS,11,93904,12614
Xiaomi Communications,4,61017,9499
Communication Weaver,1,50013,18321
Foxconn(NanJing)...,1,64079,1438
GUANGDONG OPPO MOBILE...,1,41189,23980
Motorola (Wuhan)...,2,51940,4101
SHENZHEN RF-LINK...,1,32545,5922
WISOL,4,31596,4806
Nokia,5,30857,4869
Askey,1,18935,1817
OnePlus Technology...,2,16593,3218
Gemtek,1,13687,1954
BlackBerry RTS,2,14086,1184
Qingdao Hisense...,1,6104,8430
InPro Comm,2,9334,1203
Gionee Communication...,1,9133,184
CK Telecom (Shenzhen),1,7192,1911
Wingtech Group...,1,5982,1322
CyberTAN Technology,1,6692,299
Pantech,1,2833,561
Shenzhen TINNO Mobile...,1,856,350
Shenzhen RF Technology,1,339,29
Vivotek,1,199,151
SHARP,1,141,53
BenRui Technology,1,136,28
Kyocera Wireless,1,51,27
Airgo Networks,1,13,56
MEIZU Technology,1,0,1
SHARP Corporation.,1,0,1
