Time,Download (B),Total (B)
2016/12/31 22:00:00.000000 +00:00,0,0
2017/01/01 02:00:00.000000 +00:00,14405.40444,52117.61778
2017/01/01 06:00:00.000000 +00:00,195.1288889,243.4844444
2017/01/01 10:00:00.000000 +00:00,392986.1689,431200.1422
2017/01/01 14:00:00.000000 +00:00,144709.4044,179572.0533
2017/01/01 18:00:00.000000 +00:00,127586.9867,137284.8356
2017/01/01 22:00:00.000000 +00:00,181485.2267,195148.2311
2017/01/02 02:00:00.000000 +00:00,10.80888889,44.94222222
2017/01/02 06:00:00.000000 +00:00,6843.733333,7420.586667
2017/01/02 10:00:00.000000 +00:00,56189.15556,71663.50222
2017/01/02 14:00:00.000000 +00:00,230290.7733,281617.0667
2017/01/02 18:00:00.000000 +00:00,226699.9467,265055.5733
2017/01/02 22:00:00.000000 +00:00,33091.12889,45052.01778
2017/01/03 02:00:00.000000 +00:00,220554.8089,230941.5822
2017/01/03 06:00:00.000000 +00:00,325.9733333,461.9377778
2017/01/03 10:00:00.000000 +00:00,131634.0622,143553.9911
2017/01/03 14:00:00.000000 +00:00,394922.0978,428830.72
2017/01/03 18:00:00.000000 +00:00,48508.58667,60026.88
2017/01/03 22:00:00.000000 +00:00,7947.377778,10470.96889
2017/01/04 02:00:00.000000 +00:00,1194.097778,1755.022222
2017/01/04 06:00:00.000000 +00:00,6510.364444,7644.728889
2017/01/04 10:00:00.000000 +00:00,317706.8089,331302.1156
2017/01/04 14:00:00.000000 +00:00,1053010.489,1094119.538
2017/01/04 18:00:00.000000 +00:00,162090.6667,169407.1467
2017/01/04 22:00:00.000000 +00:00,11556.40889,12647.53778
2017/01/05 02:00:00.000000 +00:00,2270.435556,3751.822222
2017/01/05 06:00:00.000000 +00:00,677.5466667,785.0666667
2017/01/05 10:00:00.000000 +00:00,50111.14667,54811.87556
2017/01/05 14:00:00.000000 +00:00,249797.9733,263185.6356
2017/01/05 18:00:00.000000 +00:00,196794.5956,247246.5067
2017/01/05 22:00:00.000000 +00:00,13908.76444,16242.91556
2017/01/06 02:00:00.000000 +00:00,0,0
2017/01/06 06:00:00.000000 +00:00,102.9688889,142.2222222
2017/01/06 10:00:00.000000 +00:00,14534.54222,17985.42222
2017/01/06 14:00:00.000000 +00:00,132775.8222,144381.1556
2017/01/06 18:00:00.000000 +00:00,320049.4933,335671.7511
2017/01/06 22:00:00.000000 +00:00,20895.28889,22639.50222
2017/01/07 02:00:00.000000 +00:00,420.4088889,490.9511111
2017/01/07 06:00:00.000000 +00:00,2144.711111,2421.76
2017/01/07 10:00:00.000000 +00:00,10757.68889,13874.63111
2017/01/07 14:00:00.000000 +00:00,168441.7422,216581.6889
2017/01/07 18:00:00.000000 +00:00,25909.47556,43131.44889
2017/01/07 22:00:00.000000 +00:00,841.9555556,1137.777778
2017/01/08 02:00:00.000000 +00:00,943.2177778,1137.777778
2017/01/08 06:00:00.000000 +00:00,1327.217778,1476.835556
