Time,# Sessions
2017/07/01 04:00:00.000000 +00:00,988
2017/07/02 04:00:00.000000 +00:00,1103
2017/07/03 04:00:00.000000 +00:00,1008
2017/07/04 04:00:00.000000 +00:00,796
2017/07/05 04:00:00.000000 +00:00,814
2017/07/06 04:00:00.000000 +00:00,1163
2017/07/07 04:00:00.000000 +00:00,1870
2017/07/08 04:00:00.000000 +00:00,1065
2017/07/09 04:00:00.000000 +00:00,633
2017/07/10 04:00:00.000000 +00:00,676
2017/07/11 04:00:00.000000 +00:00,824
2017/07/12 04:00:00.000000 +00:00,974
2017/07/13 04:00:00.000000 +00:00,840
2017/07/14 04:00:00.000000 +00:00,2000
2017/07/15 04:00:00.000000 +00:00,1470
2017/07/16 04:00:00.000000 +00:00,1014
2017/07/17 04:00:00.000000 +00:00,824
2017/07/18 04:00:00.000000 +00:00,909
2017/07/19 04:00:00.000000 +00:00,1447
2017/07/20 04:00:00.000000 +00:00,1014
2017/07/21 04:00:00.000000 +00:00,1084
2017/07/22 04:00:00.000000 +00:00,1162
2017/07/23 04:00:00.000000 +00:00,1239
2017/07/24 04:00:00.000000 +00:00,916
2017/07/25 04:00:00.000000 +00:00,1412
2017/07/26 04:00:00.000000 +00:00,1270
2017/07/27 04:00:00.000000 +00:00,1167
2017/07/28 04:00:00.000000 +00:00,635
2017/07/29 04:00:00.000000 +00:00,959
2017/07/30 04:00:00.000000 +00:00,1565
2017/07/31 04:00:00.000000 +00:00,1300
2017/08/01 04:00:00.000000 +00:00,1217
2017/08/02 04:00:00.000000 +00:00,1271
2017/08/03 04:00:00.000000 +00:00,875
2017/08/04 04:00:00.000000 +00:00,2098
2017/08/05 04:00:00.000000 +00:00,1443
2017/08/06 04:00:00.000000 +00:00,931
2017/08/07 04:00:00.000000 +00:00,577
2017/08/08 04:00:00.000000 +00:00,1098
2017/08/09 04:00:00.000000 +00:00,1247
2017/08/10 04:00:00.000000 +00:00,1298
2017/08/11 04:00:00.000000 +00:00,1596
2017/08/12 04:00:00.000000 +00:00,634
2017/08/13 04:00:00.000000 +00:00,2175
2017/08/14 04:00:00.000000 +00:00,1268
2017/08/15 04:00:00.000000 +00:00,1097
2017/08/16 04:00:00.000000 +00:00,2202
2017/08/17 04:00:00.000000 +00:00,1076
2017/08/18 04:00:00.000000 +00:00,1142
2017/08/19 04:00:00.000000 +00:00,1566
2017/08/20 04:00:00.000000 +00:00,889
2017/08/21 04:00:00.000000 +00:00,883
2017/08/22 04:00:00.000000 +00:00,884
2017/08/23 04:00:00.000000 +00:00,1119
2017/08/24 04:00:00.000000 +00:00,1148
2017/08/25 04:00:00.000000 +00:00,1634
2017/08/26 04:00:00.000000 +00:00,1313
2017/08/27 04:00:00.000000 +00:00,962
2017/08/28 04:00:00.000000 +00:00,832
2017/08/29 04:00:00.000000 +00:00,507
2017/08/30 04:00:00.000000 +00:00,1054
2017/08/31 04:00:00.000000 +00:00,1026
2017/09/01 04:00:00.000000 +00:00,516
2017/09/02 04:00:00.000000 +00:00,477
2017/09/03 04:00:00.000000 +00:00,1229
2017/09/04 04:00:00.000000 +00:00,974
2017/09/05 04:00:00.000000 +00:00,773
2017/09/06 04:00:00.000000 +00:00,383
2017/09/07 04:00:00.000000 +00:00,574
2017/09/08 04:00:00.000000 +00:00,987
2017/09/09 04:00:00.000000 +00:00,744
2017/09/10 04:00:00.000000 +00:00,807
2017/09/11 04:00:00.000000 +00:00,410
2017/09/12 04:00:00.000000 +00:00,622
2017/09/13 04:00:00.000000 +00:00,869
2017/09/14 04:00:00.000000 +00:00,809
2017/09/15 04:00:00.000000 +00:00,1581
2017/09/16 04:00:00.000000 +00:00,2763
2017/09/17 04:00:00.000000 +00:00,1119
2017/09/18 04:00:00.000000 +00:00,941
2017/09/19 04:00:00.000000 +00:00,1252
2017/09/20 04:00:00.000000 +00:00,1151
2017/09/21 04:00:00.000000 +00:00,1163
2017/09/22 04:00:00.000000 +00:00,1867
2017/09/23 04:00:00.000000 +00:00,2224
2017/09/24 04:00:00.000000 +00:00,1134
2017/09/25 04:00:00.000000 +00:00,971
2017/09/26 04:00:00.000000 +00:00,1280
2017/09/27 04:00:00.000000 +00:00,1355
2017/09/28 04:00:00.000000 +00:00,1215
2017/09/29 04:00:00.000000 +00:00,1413
2017/09/30 04:00:00.000000 +00:00,858
2017/10/01 04:00:00.000000 +00:00,916
2017/10/02 04:00:00.000000 +00:00,837
2017/10/03 04:00:00.000000 +00:00,1280
2017/10/04 04:00:00.000000 +00:00,959
2017/10/05 04:00:00.000000 +00:00,1278
2017/10/06 04:00:00.000000 +00:00,1705
2017/10/07 04:00:00.000000 +00:00,1021
2017/10/08 04:00:00.000000 +00:00,777
2017/10/09 04:00:00.000000 +00:00,745
2017/10/10 04:00:00.000000 +00:00,1202
2017/10/11 04:00:00.000000 +00:00,892
2017/10/12 04:00:00.000000 +00:00,505
2017/10/13 04:00:00.000000 +00:00,1251
2017/10/14 04:00:00.000000 +00:00,1635
2017/10/15 04:00:00.000000 +00:00,1031
2017/10/16 04:00:00.000000 +00:00,845
2017/10/17 04:00:00.000000 +00:00,1230
2017/10/18 04:00:00.000000 +00:00,893
2017/10/19 04:00:00.000000 +00:00,1453
2017/10/20 04:00:00.000000 +00:00,1863
2017/10/21 04:00:00.000000 +00:00,1835
2017/10/22 04:00:00.000000 +00:00,938
2017/10/23 04:00:00.000000 +00:00,639
2017/10/24 04:00:00.000000 +00:00,1064
2017/10/25 04:00:00.000000 +00:00,799
2017/10/26 04:00:00.000000 +00:00,648
2017/10/27 04:00:00.000000 +00:00,1240
2017/10/28 04:00:00.000000 +00:00,1475
2017/10/29 04:00:00.000000 +00:00,344
2017/10/30 04:00:00.000000 +00:00,675
2017/10/31 04:00:00.000000 +00:00,407
2017/11/01 04:00:00.000000 +00:00,519
2017/11/02 04:00:00.000000 +00:00,527
2017/11/03 04:00:00.000000 +00:00,925
2017/11/04 04:00:00.000000 +00:00,273
2017/11/05 04:00:00.000000 +00:00,238
2017/11/06 04:00:00.000000 +00:00,405
2017/11/07 04:00:00.000000 +00:00,268
2017/11/08 04:00:00.000000 +00:00,140
2017/11/09 04:00:00.000000 +00:00,147
2017/11/10 04:00:00.000000 +00:00,251
2017/11/11 04:00:00.000000 +00:00,229
2017/11/12 04:00:00.000000 +00:00,140
2017/11/13 04:00:00.000000 +00:00,93
2017/11/14 04:00:00.000000 +00:00,279
2017/11/15 04:00:00.000000 +00:00,204
2017/11/16 04:00:00.000000 +00:00,330
2017/11/17 04:00:00.000000 +00:00,302
2017/11/18 04:00:00.000000 +00:00,647
2017/11/19 04:00:00.000000 +00:00,267
2017/11/20 04:00:00.000000 +00:00,234
2017/11/21 04:00:00.000000 +00:00,392
2017/11/22 04:00:00.000000 +00:00,149
2017/11/23 04:00:00.000000 +00:00,19
2017/11/24 04:00:00.000000 +00:00,291
2017/11/25 04:00:00.000000 +00:00,382
2017/11/26 04:00:00.000000 +00:00,216
2017/11/27 04:00:00.000000 +00:00,438
2017/11/28 04:00:00.000000 +00:00,487
2017/11/29 04:00:00.000000 +00:00,559
2017/11/30 04:00:00.000000 +00:00,852
2017/12/01 04:00:00.000000 +00:00,1415
2017/12/02 04:00:00.000000 +00:00,692
2017/12/03 04:00:00.000000 +00:00,727
2017/12/04 04:00:00.000000 +00:00,548
2017/12/05 04:00:00.000000 +00:00,498
2017/12/06 04:00:00.000000 +00:00,706
2017/12/07 04:00:00.000000 +00:00,736
2017/12/08 04:00:00.000000 +00:00,930
2017/12/09 04:00:00.000000 +00:00,536
2017/12/10 04:00:00.000000 +00:00,607
2017/12/11 04:00:00.000000 +00:00,601
2017/12/12 04:00:00.000000 +00:00,296
2017/12/13 04:00:00.000000 +00:00,543
2017/12/14 04:00:00.000000 +00:00,600
2017/12/15 04:00:00.000000 +00:00,515
2017/12/16 04:00:00.000000 +00:00,630
2017/12/17 04:00:00.000000 +00:00,663
2017/12/18 04:00:00.000000 +00:00,570
2017/12/19 04:00:00.000000 +00:00,658
2017/12/20 04:00:00.000000 +00:00,1165
