OS,# Clients,Data Received (kB),Data Sent (kB)
iOS,5003,652949672,138531314
Android,1673,197756785,26235105
,1320,100417215,17597347
Mac OS X,564,93618579,21570360
Windows,110,20818620,3827609
Nexus,168,20041570,1757495
Windows 7/Vista,28,2239027,785254
Chrome OS,27,2346793,241104
Windows 8,23,1234264,189304
Windows 7,11,1104690,253459
Debian-based Linux,2,155515,10858
Windows 10,4,153424,10479
Windows XP,3,62791,4419
Mac OS X 10.12,5,29572,3012
Generic Linux,3,24357,2324
Mac OS X 10.11,2,9345,1359
Ellipsis 8,1,2188,269
Mac OS X 10.10,1,513,338
Ubuntu Linux,1,87,145
