date,num_clients,num_clients_lag_7,federal_holiday,big_holiday_before,big_holiday,big_holiday_after,num_sessions,total_traffic,community_event_count,community_event,community_gingerbread_express,community_holiday_market,wu_temp_high,wu_temp_avg,wu_temp_low,wu_humid_high,wu_humid_avg,wu_humid_low,wu_wind_high,wu_wind_avg,wu_precip,wu_event_fog,wu_event_rain,wu_event_snow,wu_event_hail,wu_event_thunderstorm,wu_event_sum,bb_cumulative_wins,bb_game,day_of_week_fri,day_of_week_mon,day_of_week_sat,day_of_week_sun,day_of_week_thu,day_of_week_tue,day_of_week_wed,quarter_q1,quarter_q2,quarter_q3,quarter_q4,bb_game_type_conference_tourney,bb_game_type_ncaa_tourney,bb_game_type_pre_season,bb_game_type_regular_season,bb_location_away,bb_location_home,bb_location_neutral,bb_ranked_opponent_False,bb_ranked_opponent_True,bb_game_result_loss,bb_game_result_win,bb_close_game_False,bb_close_game_True,wu_temp_high_sq,wu_temp_avg_sq,wu_temp_low_sq,wu_humid_high_sq,wu_humid_avg_sq,wu_humid_low_sq,wu_wind_high_sq,wu_wind_avg_sq,wu_precip_sq,num_sessions_lag_7,total_traffic_lag_7
2017-01-01,93.0,,False,False,False,False,,995566.3644244,0,False,0,0,57,47,37,73,52,42,13,7,0.01,0,1,0,0,0,1,0,False,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3249,2209,1369,5329,2704,1764,169,49,0.0001,,
2017-01-02,73.0,,True,False,False,False,,670853.68888922,0,False,0,0,46,44,42,93,89,80,10,6,0.09,0,1,0,0,0,1,0,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116,1936,1764,8649,7921,6400,100,36,0.0081,,
2017-01-03,87.0,,False,False,False,False,,874286.0799678002,0,False,0,0,48,46,43,93,89,83,14,5,0.59,0,1,0,0,0,1,0,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,2116,1849,8649,7921,6889,196,25,0.3481,,
2017-01-04,97.0,,False,False,False,False,,1616876.0891909997,0,False,0,0,57,46,36,96,56,23,15,6,0.01,0,0,0,0,0,0,11,True,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,3249,2116,1296,9216,3136,529,225,36,0.0001,,
2017-01-05,92.0,,False,False,False,False,,586023.8223087,0,False,0,0,37,34,32,50,41,32,13,4,0.0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,1156,1024,2500,1681,1024,169,16,0.0,,
2017-01-06,88.0,,False,False,False,False,,520820.0533622,0,False,0,0,36,32,28,79,67,51,12,4,0.0,0,0,1,0,0,1,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,1024,784,6241,4489,2601,144,16,0.0,,
2017-01-07,39.0,,False,False,False,False,,277638.2577891,1,True,0,0,26,22,17,86,69,38,14,9,0.05,0,0,1,0,0,1,0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,484,289,7396,4761,1444,196,81,0.0025000000000000005,,
2017-01-08,40.0,93.0,False,False,False,False,,139204.266666,0,False,0,0,25,17,9,53,39,28,8,4,0.0,0,0,0,0,0,0,12,True,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,625,289,81,2809,1521,784,64,16,0.0,,995566.3644244
2017-01-09,74.0,73.0,False,False,False,False,,875821.5110858901,0,False,0,0,25,16,8,67,54,44,13,5,0.0,0,0,0,0,0,0,0,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,256,64,4489,2916,1936,169,25,0.0,,670853.68888922
2017-01-10,67.0,87.0,False,False,False,False,,2355954.3464448997,0,False,0,0,39,29,18,62,51,40,22,8,0.0,0,1,0,0,0,1,0,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,841,324,3844,2601,1600,484,64,0.0,,874286.0799678002
2017-01-11,88.0,97.0,False,False,False,False,,1210539.80447878,0,False,0,0,52,44,36,89,74,59,18,8,0.03,0,1,0,0,0,1,0,False,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704,1936,1296,7921,5476,3481,324,64,0.0009,,1616876.0891909997
2017-01-12,105.0,92.0,False,False,False,False,,1488215.6088900003,0,False,0,0,71,60,49,89,69,49,25,15,0.0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5041,3600,2401,7921,4761,2401,625,225,0.0,,586023.8223087
2017-01-13,150.0,88.0,False,False,False,False,,1429275.8756244,1,True,0,0,61,51,41,83,61,39,13,6,0.01,0,1,0,0,0,1,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3721,2601,1681,6889,3721,1521,169,36,0.0001,,520820.0533622
2017-01-14,94.0,39.0,False,False,False,False,,732697.6000267002,0,False,0,0,42,39,36,92,84,76,9,3,0.16,0,0,0,0,0,0,13,True,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1764,1521,1296,8464,7056,5776,81,9,0.0256,,277638.2577891
