,datetime,download_traffic,total_traffic,date,hour,total_traffic_lag_week
0,2017-01-01 02:00:00,14405.40444,52117.61778,2017-01-01 00:00:00,2,
1,2017-01-01 06:00:00,195.1288889,243.4844444,2017-01-01 00:00:00,6,
2,2017-01-01 10:00:00,392986.1689,431200.1422,2017-01-01 00:00:00,10,
3,2017-01-01 14:00:00,144709.4044,179572.0533,2017-01-01 00:00:00,14,
4,2017-01-01 18:00:00,127586.9867,137284.8356,2017-01-01 00:00:00,18,
5,2017-01-01 22:00:00,181485.2267,195148.2311,2017-01-01 00:00:00,22,
6,2017-01-02 02:00:00,10.80888889,44.94222222,2017-01-02 00:00:00,2,
7,2017-01-02 06:00:00,6843.733333,7420.5866670000005,2017-01-02 00:00:00,6,
8,2017-01-02 10:00:00,56189.15556,71663.50222000001,2017-01-02 00:00:00,10,
9,2017-01-02 14:00:00,230290.7733,281617.0667,2017-01-02 00:00:00,14,
10,2017-01-02 18:00:00,226699.9467,265055.5733,2017-01-02 00:00:00,18,
11,2017-01-02 22:00:00,33091.12889,45052.01778,2017-01-02 00:00:00,22,
12,2017-01-03 02:00:00,220554.8089,230941.5822,2017-01-03 00:00:00,2,
13,2017-01-03 06:00:00,325.97333330000004,461.9377778,2017-01-03 00:00:00,6,
14,2017-01-03 10:00:00,131634.0622,143553.9911,2017-01-03 00:00:00,10,
15,2017-01-03 14:00:00,394922.0978,428830.72,2017-01-03 00:00:00,14,
16,2017-01-03 18:00:00,48508.58667,60026.88,2017-01-03 00:00:00,18,
17,2017-01-03 22:00:00,7947.377778,10470.96889,2017-01-03 00:00:00,22,
18,2017-01-04 02:00:00,1194.0977779999998,1755.0222219999998,2017-01-04 00:00:00,2,
19,2017-01-04 06:00:00,6510.364444,7644.728889,2017-01-04 00:00:00,6,
20,2017-01-04 10:00:00,317706.8089,331302.1156,2017-01-04 00:00:00,10,
21,2017-01-04 14:00:00,1053010.489,1094119.538,2017-01-04 00:00:00,14,
22,2017-01-04 18:00:00,162090.6667,169407.1467,2017-01-04 00:00:00,18,
23,2017-01-04 22:00:00,11556.40889,12647.53778,2017-01-04 00:00:00,22,
