date,month,day,wu_temp_high,wu_temp_avg,wu_temp_low,wu_dew_high,wu_dew_avg,wu_dew_low,wu_humid_high,wu_humid_avg,wu_humid_low,wu_pressure_high,wu_pressure_avg,wu_pressure_low,wu_visibility_high,wu_visibility_avg,wu_visibility_low,wu_wind_high,wu_wind_avg,wu_wind,wu_precip,wu_events
2017-01-01,1,1,57,47,37,38,30,21,73,52,42,30.33,30.18,29.99,10,10,10,13,7,-,0.01,Rain
2017-01-02,1,2,46,44,42,43,41,39,93,89,80,30.34,30.28,30.16,10,4,2,10,6,-,0.09,Rain
2017-01-03,1,3,48,46,43,45,43,40,93,89,83,30.13,29.78,29.56,10,4,1,14,5,-,0.59,Rain
2017-01-04,1,4,57,46,36,45,31,5,96,56,23,29.9,29.66,29.54,10,8,0,15,6,23,0.01,"Fog , Rain"
2017-01-05,1,5,37,34,32,20,13,6,50,41,32,30.02,29.94,29.88,10,10,10,13,4,-,0,
2017-01-06,1,6,36,32,28,25,21,12,79,67,51,30.27,30.1,29.88,10,7,2,12,4,-,0,Snow
2017-01-07,1,7,26,22,17,18,12,-2,86,69,38,30.35,30.25,30.2,10,4,1,14,9,20,0.05,Snow
2017-01-08,1,8,25,17,9,-2,-4,-6,53,39,28,30.74,30.56,30.35,10,10,10,8,4,22,0,
2017-01-09,1,9,25,16,8,8,3,-3,67,54,44,30.78,30.69,30.59,10,10,10,13,5,-,0,
2017-01-10,1,10,39,29,18,24,14,6,62,51,40,30.57,30.43,30.24,10,10,9,22,8,29,T,Rain
2017-01-11,1,11,52,44,36,44,35,25,89,74,59,30.34,30.27,30.21,10,10,7,18,8,23,0.03,Rain
2017-01-12,1,12,71,60,49,51,49,46,89,69,49,30.19,30.15,30.09,10,9,6,25,15,32,0,
2017-01-13,1,13,61,51,41,51,42,26,83,61,39,30.65,30.43,30.2,10,10,10,13,6,16,0.01,Rain
2017-01-14,1,14,42,39,36,38,35,32,92,84,76,30.66,30.47,30.28,10,7,0,9,3,12,0.16,"Fog , Rain"
2017-01-15,1,15,44,41,37,40,38,35,100,88,76,30.41,30.33,30.27,10,5,0,10,2,13,0.02,"Fog , Rain"
2017-01-16,1,16,45,42,38,42,39,35,96,90,83,30.46,30.38,30.26,10,6,2,10,4,14,0.04,Rain
2017-01-17,1,17,56,49,41,52,46,39,96,91,86,30.24,30.08,29.89,10,6,2,15,6,19,0.08,Rain
2017-01-18,1,18,62,52,42,53,43,34,100,68,36,30.08,29.93,29.84,10,8,0,16,6,25,0,Fog
2017-01-19,1,19,56,44,32,39,36,31,92,72,51,30.12,30.04,29.99,10,10,10,9,2,12,0,
2017-01-20,1,20,52,47,41,48,43,38,93,88,82,29.98,29.9,29.83,10,8,2,9,4,12,0.08,Rain
2017-01-21,1,21,52,50,48,49,48,47,100,95,89,29.9,29.85,29.71,5,1,0,7,3,11,0.02,"Fog , Rain"
2017-01-22,1,22,54,52,49,51,49,47,100,95,89,29.73,29.65,29.56,10,3,0,12,6,15,0.17,"Fog , Rain"
2017-01-23,1,23,51,45,38,49,44,34,93,82,70,29.54,29.43,29.33,10,4,2,32,15,40,1.21,Rain
2017-01-24,1,24,57,48,39,37,34,31,85,66,47,29.71,29.57,29.47,10,10,10,17,8,25,0,
2017-01-25,1,25,70,55,40,36,31,26,67,44,20,29.78,29.68,29.55,10,10,10,14,6,17,0,
2017-01-26,1,26,63,52,40,43,30,22,57,44,30,29.83,29.62,29.47,10,10,10,22,9,38,T,Rain
2017-01-27,1,27,46,41,35,24,18,14,51,42,33,29.87,29.84,29.79,10,10,10,13,6,23,0,
2017-01-28,1,28,50,41,32,21,19,15,54,42,29,29.83,29.78,29.72,10,10,10,14,6,23,0,
2017-01-29,1,29,47,39,31,33,26,19,89,63,37,29.81,29.75,29.7,10,9,1,12,4,18,0.03,"Rain , Snow"
2017-01-30,1,30,39,33,26,32,15,9,78,53,27,30.05,29.9,29.72,10,10,6,18,5,27,T,Snow
2017-01-31,1,31,63,44,25,26,18,12,69,44,19,30.02,29.85,29.69,10,10,10,21,5,33,0,
2017-02-01,2,1,59,53,46,31,27,13,50,36,21,30.05,29.99,29.92,10,10,10,14,4,24,0,
2017-02-02,2,2,55,47,38,31,22,12,57,38,19,30.22,30.13,30.05,10,10,10,13,6,18,0,
